episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,lateral,timeout,10.0
1,0.2,lateral,timeout,10.0
2,0.2,lateral,timeout,10.0
3,0.2,lateral,timeout,10.0
4,0.2,lateral,timeout,10.0
5,0.4,lateral,timeout,10.0
6,0.4,lateral,timeout,10.0
7,0.4,lateral,timeout,10.0
8,0.4,lateral,timeout,10.0
9,0.4,lateral,timeout,10.0
10,0.6,lateral,fall,5.006
11,0.6,lateral,fall,1.296
12,0.6,lateral,timeout,10.0
13,0.6,lateral,fall,6.884
14,0.6,lateral,fall,1.782
15,0.8,lateral,timeout,10.0
16,0.8,lateral,fall,4.626
17,0.8,lateral,fall,1.736
18,0.8,lateral,fall,8.588
19,0.8,lateral,fall,2.578
20,1.0,lateral,fall,4.542
21,1.0,lateral,fall,3.1
22,1.0,lateral,timeout,10.0
23,1.0,lateral,fall,3.152
24,1.0,lateral,fall,6.048
25,1.2,lateral,fall,2.514
26,1.2,lateral,fall,4.178
27,1.2,lateral,fall,5.956
28,1.2,lateral,fall,5.028
29,1.2,lateral,fall,3.058
30,1.4,lateral,fall,4.844
31,1.4,lateral,timeout,10.0
32,1.4,lateral,fall,2.132
33,1.4,lateral,fall,6.6
34,1.4,lateral,timeout,10.0
35,1.6,lateral,fall,2.244
36,1.6,lateral,fall,4.634
37,1.6,lateral,fall,2.728
38,1.6,lateral,timeout,10.0
39,1.6,lateral,fall,1.886
40,1.8,lateral,fall,5.014
41,1.8,lateral,timeout,10.0
42,1.8,lateral,fall,2.0
43,1.8,lateral,fall,4.118
44,1.8,lateral,fall,2.53
45,2.0,lateral,fall,2.804
46,2.0,lateral,fall,1.546
47,2.0,lateral,timeout,10.0
48,2.0,lateral,fall,2.306
49,2.0,lateral,fall,2.614
50,2.2,lateral,fall,2.85
51,2.2,lateral,fall,1.366
52,2.2,lateral,fall,4.648
53,2.2,lateral,fall,1.684
54,2.2,lateral,fall,2.296
55,2.4,lateral,fall,1.486
56,2.4,lateral,fall,1.456
57,2.4,lateral,fall,1.884
58,2.4,lateral,fall,1.54
59,2.4,lateral,fall,2.544
60,2.6,lateral,fall,1.47
61,2.6,lateral,fall,2.376
62,2.6,lateral,fall,2.148
63,2.6,lateral,fall,2.442
64,2.6,lateral,fall,9.452
65,2.8,lateral,fall,1.708
66,2.8,lateral,fall,3.236
67,2.8,lateral,fall,1.762
68,2.8,lateral,fall,1.26
69,2.8,lateral,fall,1.46
70,3.0,lateral,fall,1.538
71,3.0,lateral,fall,2.642
72,3.0,lateral,fall,1.218
73,3.0,lateral,fall,1.308
74,3.0,lateral,fall,1.466
