episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,lateral,timeout,10.0
1,0.2,lateral,timeout,10.0
2,0.2,lateral,timeout,10.0
3,0.2,lateral,timeout,10.0
4,0.2,lateral,timeout,10.0
5,0.4,lateral,timeout,10.0
6,0.4,lateral,timeout,10.0
7,0.4,lateral,timeout,10.0
8,0.4,lateral,fall,5.892
9,0.4,lateral,fall,0.944
10,0.6,lateral,fall,6.85
11,0.6,lateral,fall,1.822
12,0.6,lateral,fall,3.774
13,0.6,lateral,fall,2.216
14,0.6,lateral,fall,2.466
15,0.8,lateral,fall,1.05
16,0.8,lateral,fall,3.056
17,0.8,lateral,fall,1.712
18,0.8,lateral,fall,4.476
19,0.8,lateral,fall,2.528
20,1.0,lateral,fall,5.99
21,1.0,lateral,fall,1.662
22,1.0,lateral,fall,1.622
23,1.0,lateral,fall,4.392
24,1.0,lateral,fall,7.36
25,1.2,lateral,fall,1.936
26,1.2,lateral,fall,3.086
27,1.2,lateral,fall,4.08
28,1.2,lateral,fall,6.04
29,1.2,lateral,fall,1.284
30,1.4,lateral,fall,1.96
31,1.4,lateral,fall,3.726
32,1.4,lateral,fall,3.744
33,1.4,lateral,fall,3.826
34,1.4,lateral,fall,4.768
35,1.6,lateral,fall,4.414
36,1.6,lateral,fall,2.652
37,1.6,lateral,fall,2.342
38,1.6,lateral,fall,2.176
39,1.6,lateral,fall,4.25
40,1.8,lateral,fall,2.49
41,1.8,lateral,fall,3.918
42,1.8,lateral,fall,4.694
43,1.8,lateral,fall,2.436
44,1.8,lateral,fall,6.622
45,2.0,lateral,fall,5.004
46,2.0,lateral,fall,2.302
47,2.0,lateral,fall,2.578
48,2.0,lateral,fall,1.248
49,2.0,lateral,fall,1.586
50,2.2,lateral,fall,2.456
51,2.2,lateral,fall,1.894
52,2.2,lateral,fall,2.69
53,2.2,lateral,fall,2.288
54,2.2,lateral,fall,2.758
55,2.4,lateral,fall,1.024
56,2.4,lateral,fall,1.628
57,2.4,lateral,fall,6.758
58,2.4,lateral,fall,1.838
59,2.4,lateral,fall,1.482
60,2.6,lateral,fall,1.54
61,2.6,lateral,fall,2.144
62,2.6,lateral,fall,1.572
63,2.6,lateral,fall,1.524
64,2.6,lateral,fall,2.386
65,2.8,lateral,fall,1.004
66,2.8,lateral,fall,0.858
67,2.8,lateral,fall,3.16
68,2.8,lateral,fall,2.95
69,2.8,lateral,fall,1.8
70,3.0,lateral,fall,1.186
71,3.0,lateral,fall,1.0
72,3.0,lateral,fall,1.218
73,3.0,lateral,fall,1.476
74,3.0,lateral,fall,1.172
