episode_id,step,commanded_vx,pitch,roll,omega_x,omega_y,sin_phase,cos_phase,fall_detected
1,1200,0.2,0.0363,-0.0019,-0.7195,-0.0551,0.0157,0.9999,False
1,1300,0.2,0.0438,0.0555,-0.0158,0.0651,0.9999,-0.0157,False
1,1400,0.2,0.0495,-0.0074,0.8794,-0.1751,-0.0157,-0.9999,False
1,1500,0.2,0.04,-0.0595,0.0101,-0.0183,-0.9999,0.0157,False
1,1600,0.2,0.0367,-0.0019,-0.7188,-0.0569,0.0157,0.9999,False
1,1700,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,1800,0.2,0.0496,-0.0075,0.8811,-0.1754,-0.0157,-0.9999,False
1,1900,0.2,0.04,-0.0596,0.0099,-0.0186,-0.9999,0.0157,False
1,2000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,2100,0.2,0.0439,0.0556,-0.0155,0.0646,0.9999,-0.0157,False
1,2200,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
1,2300,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,2400,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,2500,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,2600,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
1,2700,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,2800,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,2900,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,3000,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
1,3100,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,3200,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,3300,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,3400,0.2,0.0496,-0.0074,0.8808,-0.1753,-0.0157,-0.9999,False
1,3500,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,3600,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,3700,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,3800,0.2,0.0496,-0.0074,0.8808,-0.1753,-0.0157,-0.9999,False
1,3900,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,4000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,4100,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,4200,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
1,4300,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,4400,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
1,4500,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,4600,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
1,4700,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
1,4800,0.2,0.0367,-0.0019,-0.719,-0.0571,0.0157,0.9999,False
1,4900,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
1,4999,0.2,0.0499,-0.0056,0.856,-0.1521,0.0,-1.0,False
2,0,0.2,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
2,100,0.2,0.0567,0.008,0.0136,0.1139,0.9999,-0.0157,False
2,200,0.2,0.0657,-0.0501,0.3961,-0.0555,-0.0157,-0.9999,False
2,300,0.2,0.0603,-0.0746,-0.0825,-0.0458,-0.9999,0.0157,False
2,400,0.2,0.0484,0.0026,-0.8732,-0.1025,0.0157,0.9999,False
2,500,0.2,0.052,0.0575,-0.0216,0.0456,0.9999,-0.0157,False
2,600,0.2,0.053,-0.0049,0.8736,-0.1976,-0.0157,-0.9999,False
2,700,0.2,0.0411,-0.0596,0.0162,-0.0202,-0.9999,0.0157,False
2,800,0.2,0.0381,-0.0027,-0.7171,-0.0551,0.0157,0.9999,False
2,900,0.2,0.045,0.0553,-0.0193,0.059,0.9999,-0.0157,False
2,1000,0.2,0.0494,-0.0073,0.8785,-0.1818,-0.0157,-0.9999,False
2,1100,0.2,0.0393,-0.0595,0.0099,-0.0187,-0.9999,0.0157,False
2,1200,0.2,0.0363,-0.0019,-0.7195,-0.0551,0.0157,0.9999,False
2,1300,0.2,0.0438,0.0555,-0.0158,0.0651,0.9999,-0.0157,False
2,1400,0.2,0.0495,-0.0074,0.8794,-0.1751,-0.0157,-0.9999,False
2,1500,0.2,0.04,-0.0595,0.0101,-0.0183,-0.9999,0.0157,False
2,1600,0.2,0.0367,-0.0019,-0.7188,-0.0569,0.0157,0.9999,False
